id,idigbio:version,idigbio:createdBy,ac:subtype,idigbio:links,xmpRights:WebStatement,dcterms:title,xmpRights:UsageTerms,idigbio:etag,dcterms:type,dcterms:format,idigbio:recordIds,xmpRights:Owner,ac:providerManagedID,dwc:occurrenceID,idigbio:dateModified,ac:metadataLanguage,ac:accessURI,xmp:MetadataDate,idigbio:uuid,ac:associatedSpecimenReference,ac:mediumQualityAccessURI,ac:licenseLogoURL,ac:bestQualityAccessURI,ac:providerID,ac:thumbnailFormat,ac:subjectPart,dcterms:creator,ac:bestQualityFurtherInformationURL,ac:bestQualityFormat,ac:captureDevice,dwc:nameAccordingTo,dcterms:available,ac:metadataCreator,ac:thumbnailAccessURI,coreid,ac:mediumQualityFormat,ac:metadataProvider,dcterms:identifier,ac:tag,ac:attributionLogoURL,ac:bestQualityExtent,dcterms:rights,ac:subjectOrientation,ac:resourceCreationTechnique,dcterms:modified,dcterms:provider
17808399-9bb0-40d8-910a-dafb5342a920,,872733a2-67a3-4c54-aa76-862735a5f334,Photograph,,http://creativecommons.org/licenses/by-nc-sa/3.0/,Trypethelium tropicum,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),55aa85d4ff7f860ce9c30aca4e44d3c93b2bc919,StillImage,image/jpeg,,New York Botanical Garden (NY),urn:uuid:lichenportal.org:17808399-9bb0-40d8-910a-dafb5342a920,935877,2013-11-16T22:36:09.474Z,en,http://storage.idigbio.org/ny/lichens/01357/NY01357684_lg.jpg,2009-10-25 01:27:29,17808399-9bb0-40d8-910a-dafb5342a920,http://lichenportal.org/portal/collections/individual/index.php?occid=935877,,,,,,,,,,,,,,,,,,,,,,,,,,
1cf1cded-f2ec-4da3-bedf-ba873fd6145f,,872733a2-67a3-4c54-aa76-862735a5f334,Photograph,,http://creativecommons.org/licenses/by-nc-sa/3.0/,Boletus auriporus,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),d30fbb10e89e9bc38b46237d75e16425f56fb18c,StillImage,image/jpeg,,University of North Carolina Herbarium (NCU),urn:uuid:mycoportal.org:92acd768-2aaf-4665-ab94-9780a0139b50,646831,2013-12-15T06:56:47.200Z,en,http://storage.idigbio.org/ncu/mycology/NCU-F-0001/NCU-F-0001255__01_lg.jpg,2012-10-04 13:48:44,1cf1cded-f2ec-4da3-bedf-ba873fd6145f,http://mycoportal.org/portal/collections/individual/index.php?occid=646831,,,,,,,,,,,,,,,,,,,,,,,,,,
19665d2f-d792-4560-bbe5-a6419839a609,,872733a2-67a3-4c54-aa76-862735a5f334,Photograph,,http://creativecommons.org/licenses/by-nc-sa/3.0/,Fuscoporia gilva,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),6d94d76aba155e61bc5bc1cd3079a931b29d92d1,StillImage,image/jpeg,,University of California Berkeley (UC),urn:uuid:mycoportal.org:e4e5dc89-d621-40e1-b876-c60d8247ab89,825656,2013-12-15T12:06:46.033Z,en,http://storage.idigbio.org/uc/mycology/UC1061/UC1061032_lg.jpg,2012-10-08 13:56:18,19665d2f-d792-4560-bbe5-a6419839a609,http://mycoportal.org/portal/collections/individual/index.php?occid=825656,,,,,,,,,,,,,,,,,,,,,,,,,,
782c1b8d-f354-4780-b187-81be5a8322bf,,872733a2-67a3-4c54-aa76-862735a5f334,,,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,Vicia sativa,,105ef47b3b322f8fa6fd34e81a4a7f5c1efab903,tiff,,,Florida State University,http://www.morphbank.net/566886,,2013-11-21T17:19:33.734Z,en,,,782c1b8d-f354-4780-b187-81be5a8322bf,http://www.morphbank.net/566884,http://www.morphbank.net/?id=566886&amp;imgType=jpg,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://www.morphbank.net/?id=566886&amp;imgType=tiff,http://www.morphbank.net/475742,jpg/jpeg,Plant body,Ken Womble,http://www.morphbank.net/566886,tiff,"Reflected light, macrophotography",ITIS,2011-04-30,morphbank.net,http://www.morphbank.net/?id=566886&amp;imgType=thumb,ark:/87286/B206e57bb9-68ab-4fd2-b911-936468294525,jpg/jpeg,morphbank.net,http://www.morphbank.net/566886,Plant body,http://www.morphbank.net/images/userLogos/77409.gif,3870 x 3290,by-nc-sa,Herbarium Specimen,No preparation,2010-04-30 12:32:20.0,http://www.morphbank.net/77409
443b6539-3c66-4c81-b756-ec0f6624f7e1,,872733a2-67a3-4c54-aa76-862735a5f334,,,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,Quercus michauxii,,4b71dcd6a5d281302bc6748219cf282de99e7704,tiff,,,Florida State University,http://www.morphbank.net/534729,,2013-11-21T17:27:18.085Z,en,,,443b6539-3c66-4c81-b756-ec0f6624f7e1,http://www.morphbank.net/534727,http://www.morphbank.net/?id=534729&amp;imgType=jpg,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://www.morphbank.net/?id=534729&amp;imgType=tiff,http://www.morphbank.net/475742,jpg/jpeg,Plant body,Ken Womble,http://www.morphbank.net/534729,tiff,"Reflected light, macrophotography",ITIS,2011-03-24,morphbank.net,http://www.morphbank.net/?id=534729&amp;imgType=thumb,ark:/87286/B2a8399062-5e03-4b75-8038-52225db59ccc,jpg/jpeg,morphbank.net,http://www.morphbank.net/534729,Plant body,http://www.morphbank.net/images/userLogos/77409.gif,3606 x 3000,by-nc-sa,Herbarium Specimen,No preparation,2010-03-24 11:43:17.0,http://www.morphbank.net/77409
b5d6b9b9-b50a-4231-aa9b-5c41fc0d106e,,872733a2-67a3-4c54-aa76-862735a5f334,,,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,Phoradendron leucarpum,,dad7d54c553e2b0fd4e534493b6010fcc855560c,tiff,,,Florida State University,http://www.morphbank.net/520407,,2013-11-21T18:10:22.355Z,en,,,b5d6b9b9-b50a-4231-aa9b-5c41fc0d106e,http://www.morphbank.net/520405,http://www.morphbank.net/?id=520407&amp;imgType=jpg,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://www.morphbank.net/?id=520407&amp;imgType=tiff,http://www.morphbank.net/475742,jpg/jpeg,Plant body,Ken Womble,http://www.morphbank.net/520407,tiff,"Reflected light, macrophotography",ITIS,2011-03-23,morphbank.net,http://www.morphbank.net/?id=520407&amp;imgType=thumb,ark:/87286/B2010a07d8-1490-47b4-8ae0-e5a04170b3f5,jpg/jpeg,morphbank.net,http://www.morphbank.net/520407,Plant body,http://www.morphbank.net/images/userLogos/77409.gif,3582 x 2984,by-nc-sa,Herbarium Specimen,No preparation,2010-03-23 20:39:18.0,http://www.morphbank.net/77409
9d6605e0-bb89-4bdf-96de-c5710742bf09,,872733a2-67a3-4c54-aa76-862735a5f334,Photograph,,http://creativecommons.org/licenses/by-nc-sa/3.0/,Lepiota subcristatiformis,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),72f3650c59e2eca2d0aafa93e2f49feb4226b4d6,StillImage,image/jpeg,,University of Florida Herbarium (FLAS),urn:uuid:mycoportal.org:1a8e8f95-8466-4789-96c9-ab364c84ce53,654769,2013-12-13T19:55:45.680Z,en,http://mycoportal.org/imglib/mycology/FLAS/201212/FLAS-F-57592_A03_lg.jpg,2012-10-03 17:35:16,9d6605e0-bb89-4bdf-96de-c5710742bf09,http://mycoportal.org/portal/collections/individual/index.php?occid=654769,,,,,,,,,,,,,,,,,,,,,,,,,,
89380944-4abf-4fee-aa05-f1b02c5d9ee1,,872733a2-67a3-4c54-aa76-862735a5f334,Photograph,,http://creativecommons.org/licenses/by-nc-sa/3.0/,Boletinellus proximus,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),a36838014f3f97778c2c37a9d89d4e17c323b2b5,StillImage,image/jpeg,,Harry D. Thiers Herbarium (San Francisco State University) (SFSU),urn:uuid:mycoportal.org:0785f0d2-f45e-4313-b687-e8ba6329571e,597530,2013-12-15T07:33:29.199Z,en,http://storage.idigbio.org/sfsu/mycology/SFSU-F-000/SFSU-F-000055_lg.jpg,2012-10-23 15:02:01,89380944-4abf-4fee-aa05-f1b02c5d9ee1,http://mycoportal.org/portal/collections/individual/index.php?occid=597530,,,,,,,,,,,,,,,,,,,,,,,,,,
c790825e-063d-4ac5-9ddb-a4a18e8b7061,,872733a2-67a3-4c54-aa76-862735a5f334,Photograph,,http://creativecommons.org/licenses/by-nc-sa/3.0/,Amanita subsolitaria,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),fc8b59df458cd0f1ab8b52a9312fd150f7cd5927,StillImage,image/jpeg,,University of North Carolina Herbarium (NCU),urn:uuid:mycoportal.org:35ff8db3-0521-4b2d-a009-a2fe8f163243,601670,2013-12-15T06:55:23.814Z,en,http://storage.idigbio.org/ncu/mycology/NCU-F-0000/NCU-F-0000588__01_lg.jpg,2012-10-04 13:48:44,c790825e-063d-4ac5-9ddb-a4a18e8b7061,http://mycoportal.org/portal/collections/individual/index.php?occid=601670,,,,,,,,,,,,,,,,,,,,,,,,,,
6edb53e6-b13a-4435-bbed-a5ef65cea1c1,,872733a2-67a3-4c54-aa76-862735a5f334,Photograph,,http://creativecommons.org/licenses/by-nc-sa/3.0/,Pyronema omphalodes,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),ac820c223a7883ef058ecb809c3ab2e7a258f71a,StillImage,image/jpeg,,University of Florida Herbarium (FLAS),urn:uuid:mycoportal.org:6381feb4-3ecd-4590-8210-65cea1508745,604185,2013-12-13T19:52:54.441Z,en,http://storage.idigbio.org/flas/mycology/FLAS-F-03/FLAS-F-03723_N01_lg.jpg,2012-10-03 17:35:16,6edb53e6-b13a-4435-bbed-a5ef65cea1c1,http://mycoportal.org/portal/collections/individual/index.php?occid=604185,,,,,,,,,,,,,,,,,,,,,,,,,,
f3c000d1-a71b-470a-87ae-be5e7da51dff,,872733a2-67a3-4c54-aa76-862735a5f334,Photograph,,http://creativecommons.org/licenses/by-nc/3.0/,Lycoperdon pusillum,CC BY-NC (Attribution-Non-Commercial),974a1dbafcb6f91afe25a1c2535a156e3d8092ad,StillImage,image/jpeg,,President and Fellows of Harvard College,urn:uuid:mycoportal.org:7b5234e4-8dd6-4d1f-bd9f-3e91f0da24d4,687453,2013-12-15T02:06:56.701Z,en,http://storage.idigbio.org/fh/mycology/barcode-00373/FH00373931b_lg.jpg,2013-01-15 15:21:36,f3c000d1-a71b-470a-87ae-be5e7da51dff,http://mycoportal.org/portal/collections/individual/index.php?occid=687453,,,,,,,,,,,,,,,,,,,,,,,,,,
1893a431-9354-48dd-a44a-95ba7caf5a26,,872733a2-67a3-4c54-aa76-862735a5f334,,,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,Quercus austrina,,60bff82da06c2894f08fcd480421f50a355dbc2a,tif,,,Florida State University,http://www.morphbank.net/586507,,2013-11-24T23:51:57.641Z,en,,,1893a431-9354-48dd-a44a-95ba7caf5a26,http://www.morphbank.net/586505,http://www.morphbank.net/?id=586507&amp;imgType=jpg,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://www.morphbank.net/?id=586507&amp;imgType=tif,http://www.morphbank.net/475742,jpg/jpeg,Plant body,Ken Womble,http://www.morphbank.net/586507,tif,"Reflected light, macrophotography",ITIS,2010-04-01,morphbank.net,http://www.morphbank.net/?id=586507&amp;imgType=thumb,ark:/87286/B21f5496a8-ac96-4449-9e71-0ecbc7ae544c,jpg/jpeg,morphbank.net,http://www.morphbank.net/586507,Plant body,http://www.morphbank.net/images/userLogos/77409.gif,3606 x 3000,by-nc-sa,Herbarium Specimen,No preparation,2011-02-09 12:43:56.0,http://www.morphbank.net/77409
ce3f2d71-6a4a-453d-ac3a-2ce4e3b43b6a,,872733a2-67a3-4c54-aa76-862735a5f334,Photograph,,http://creativecommons.org/licenses/by-nc-sa/3.0/,Boletellus ananas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),aa4012bb2a2d06d51829aa6e505e2b07854b2bf3,StillImage,image/jpeg,,Harry D. Thiers Herbarium (San Francisco State University) (SFSU),urn:uuid:mycoportal.org:117c921f-81e4-4214-a6b7-8cf1c0ed8c39,597412,2013-12-15T07:36:07.937Z,en,http://storage.idigbio.org/sfsu/mycology/SFSU-F-000/SFSU-F-000015_lg.jpg,2012-10-23 15:02:01,ce3f2d71-6a4a-453d-ac3a-2ce4e3b43b6a,http://mycoportal.org/portal/collections/individual/index.php?occid=597412,,,,,,,,,,,,,,,,,,,,,,,,,,
4add6ff8-18fa-491a-a4ca-aaefd717bed0,,872733a2-67a3-4c54-aa76-862735a5f334,Photograph,,http://creativecommons.org/licenses/by-nc-sa/3.0/,Boletinellus proximus,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),49dbfb71de780d038fd3c6dddd3a59675b7f17a9,StillImage,image/jpeg,,Harry D. Thiers Herbarium (San Francisco State University) (SFSU),urn:uuid:mycoportal.org:4d64f0cd-702d-4cf9-a299-e5e64ff376c4,598280,2013-12-15T07:36:34.113Z,en,http://storage.idigbio.org/sfsu/mycology/SFSU-F-000/SFSU-F-000132_lg.jpg,2012-10-23 15:02:01,4add6ff8-18fa-491a-a4ca-aaefd717bed0,http://mycoportal.org/portal/collections/individual/index.php?occid=598280,,,,,,,,,,,,,,,,,,,,,,,,,,
7f9e4e6d-7a3c-4153-80bb-b6cf0d866d14,,872733a2-67a3-4c54-aa76-862735a5f334,Photograph,,http://creativecommons.org/licenses/by-nc-sa/3.0/,Patella coprinaria,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),c0c2b8240e25f7f83208f1acf07d2f612d0ae6a6,StillImage,image/jpeg,,University of Florida Herbarium (FLAS),urn:uuid:mycoportal.org:f5418a54-344f-4c30-9b38-d10e72cc380b,656526,2013-12-13T19:56:45.551Z,en,http://storage.idigbio.org/flas/mycology/FLAS-F-03/FLAS-F-03703_N01_lg.jpg,2012-10-03 17:35:16,7f9e4e6d-7a3c-4153-80bb-b6cf0d866d14,http://mycoportal.org/portal/collections/individual/index.php?occid=656526,,,,,,,,,,,,,,,,,,,,,,,,,,
2af13cf2-31f6-4b30-968c-0d73973f59b4,,872733a2-67a3-4c54-aa76-862735a5f334,,,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,Trifolium arvense,,fe134667e5ea8362aa85fdd1ea81e565317acf5d,tiff,,,Florida State University,http://www.morphbank.net/563745,,2013-11-22T01:04:35.989Z,en,,,2af13cf2-31f6-4b30-968c-0d73973f59b4,http://www.morphbank.net/563743,http://www.morphbank.net/?id=563745&amp;imgType=jpg,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://www.morphbank.net/?id=563745&amp;imgType=tiff,http://www.morphbank.net/475742,jpg/jpeg,Plant body,Ken Womble,http://www.morphbank.net/563745,tiff,"Reflected light, macrophotography",ITIS,2011-04-30,morphbank.net,http://www.morphbank.net/?id=563745&amp;imgType=thumb,ark:/87286/B2287b5afa-bd08-4fee-a9bb-20d0ca200690,jpg/jpeg,morphbank.net,http://www.morphbank.net/563745,Plant body,http://www.morphbank.net/images/userLogos/77409.gif,3870 x 3290,by-nc-sa,Herbarium Specimen,No preparation,2010-04-30 11:15:38.0,http://www.morphbank.net/77409
546bdb15-799c-4e51-a0e1-103e326dedac,,872733a2-67a3-4c54-aa76-862735a5f334,Photograph,,http://creativecommons.org/licenses/by-nc-sa/3.0/,Lasiobolus equinus,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),91982c33361105265b9bd6c1c510fa337fa2dfd6,StillImage,image/jpeg,,University of Florida Herbarium (FLAS),urn:uuid:mycoportal.org:cf979d83-87bb-40af-8ec3-f1366fb80ac8,656467,2013-12-13T19:53:54.196Z,en,http://storage.idigbio.org/flas/mycology/FLAS-F-03/FLAS-F-03648_N01_lg.jpg,2012-10-03 17:35:16,546bdb15-799c-4e51-a0e1-103e326dedac,http://mycoportal.org/portal/collections/individual/index.php?occid=656467,,,,,,,,,,,,,,,,,,,,,,,,,,
fab977f4-3f7a-4260-aee7-a616c6925b9b,,872733a2-67a3-4c54-aa76-862735a5f334,Photograph,,http://creativecommons.org/licenses/by-nc-sa/3.0/,Plectania coccinea,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),6659c880a4027fd56b9071bdc038e0e134d56c94,StillImage,image/jpeg,,University of Florida Herbarium (FLAS),urn:uuid:mycoportal.org:520e922e-5503-4e37-9d46-a214bdde9ecc,604178,2013-12-13T19:53:54.605Z,en,http://storage.idigbio.org/flas/mycology/FLAS-F-03/FLAS-F-03741_N01_lg.jpg,2012-10-03 17:35:16,fab977f4-3f7a-4260-aee7-a616c6925b9b,http://mycoportal.org/portal/collections/individual/index.php?occid=604178,,,,,,,,,,,,,,,,,,,,,,,,,,
8c33dcfc-68bf-4cb0-9d37-3abf66f1b503,,872733a2-67a3-4c54-aa76-862735a5f334,Photograph,,http://creativecommons.org/licenses/by-nc-sa/3.0/,Boletus fumosipes,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),1b127cdcf28d1f85fa03804bdbb1ccab72e3877b,StillImage,image/jpeg,,University of North Carolina Herbarium (NCU),urn:uuid:mycoportal.org:dc45b95b-533f-455b-896e-4149c1f1b43a,655274,2013-12-15T06:58:17.441Z,en,http://storage.idigbio.org/ncu/mycology/NCU-F-0001/NCU-F-0001780__01_lg.jpg,2012-10-04 13:48:44,8c33dcfc-68bf-4cb0-9d37-3abf66f1b503,http://mycoportal.org/portal/collections/individual/index.php?occid=655274,,,,,,,,,,,,,,,,,,,,,,,,,,
1f1bf9c2-b8c1-41df-8741-381f75797942,,872733a2-67a3-4c54-aa76-862735a5f334,,,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,Phoradendron leucarpum,,8cd4afe0e631f4dbd3e4d3378df9e883755f0b03,tiff,,,Florida State University,http://www.morphbank.net/520428,,2013-11-22T02:20:32.276Z,en,,,1f1bf9c2-b8c1-41df-8741-381f75797942,http://www.morphbank.net/520426,http://www.morphbank.net/?id=520428&amp;imgType=jpg,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://www.morphbank.net/?id=520428&amp;imgType=tiff,http://www.morphbank.net/475742,jpg/jpeg,Plant body,Ken Womble,http://www.morphbank.net/520428,tiff,"Reflected light, macrophotography",ITIS,2011-03-23,morphbank.net,http://www.morphbank.net/?id=520428&amp;imgType=thumb,ark:/87286/B26800c1a2-93d0-4264-9e0a-eadc9ae93bc7,jpg/jpeg,morphbank.net,http://www.morphbank.net/520428,Plant body,http://www.morphbank.net/images/userLogos/77409.gif,3582 x 2984,by-nc-sa,Herbarium Specimen,No preparation,2010-03-23 20:39:28.0,http://www.morphbank.net/77409
